size,tour_poitrine,tour_taille,tour_bassin,longueur_dos,carrure_dos,tour_cou
44,88,76,92,44,41,37
46,92,80,96,44.5,42,38
48,96,84,100,45,43,39
50,100,88,104,45.5,44,40
52,104,92,108,46,45,41
54,108,96,112,46.5,46,42
56,112,100,116,47,47,43
58,116,104,120,47.5,48,44
